Hidden architecture,regularization rate,Learning rate,Batch size,mean train,std train,mean test,std test,mean f-score,std f-score
50-50,0.0-0.001,0.001,5,0.64562962962962978,0.0052920210665160861,0.61599999999999999,0.048000000000000036,0.44679081442909252,0.053898721794427402
50-50,0.0-0.001,0.001,10,0.64328358208955216,0.0098326382638809409,0.62142857142857155,0.054679026311441836,0.43368422668534645,0.067350955742345994
100-100,0.0-0.0,0.001,5,0.65437037037037038,0.0052608239717228762,0.6386666666666666,0.042353013798049607,0.47915505092516347,0.061796196760013043
100-100,0.0-0.0,0.001,10,0.64761194029850744,0.010977000601908598,0.62857142857142867,0.054210474174315064,0.44483171578979536,0.074619299277367934
100-100,0.001-0.0,0.01,10,0.63313432835820893,0.020044503837850215,0.63428571428571434,0.065527685378169789,0.41839601811833493,0.087430809858840261
100-100,0.001-0.0,0.001,5,0.62474074074074082,0.011341802693584124,0.6253333333333333,0.052476449744411832,0.42027184193555095,0.057722487287201051
100-100,0.0-0.001,0.001,5,0.65392592592592602,0.0096056681940428594,0.6333333333333333,0.046666666666666697,0.45915938588991273,0.064801648190897079
100-100,0.0-0.001,0.001,10,0.64402985074626862,0.008886552624838312,0.627142857142857,0.052857142857142853,0.43615753450626304,0.068845608747481898
200-200,0.0-0.0,0.001,5,0.66607407407407415,0.0043039523100248771,0.63600000000000001,0.041761226035642203,0.47002030362980785,0.052496007370357159
200-200,0.0-0.0,0.001,10,0.6673134328358209,0.0096600723136026478,0.63857142857142857,0.052702476416276331,0.45409671756261005,0.082034799275944995
200-200,0.001-0.0,0.01,5,0.58696296296296302,0.022987322801974904,0.59199999999999986,0.048515747729760653,0.42348872051355102,0.070317213571400042
200-200,0.001-0.0,0.01,10,0.62850746268656721,0.022112231197808446,0.62857142857142867,0.066394000220698579,0.41926340747590485,0.087507030650268589
200-200,0.001-0.0,0.001,5,0.61762962962962964,0.010568478119710695,0.61066666666666669,0.051914459557151439,0.41287293507057682,0.061824686674113886
200-200,0.0-0.001,0.001,5,0.66399999999999992,0.0055747815473264559,0.63200000000000001,0.047027178902795744,0.45982379061808221,0.063422804133067417
200-200,0.0-0.001,0.001,10,0.66328358208955218,0.010452024716424851,0.63571428571428568,0.054679026311441808,0.44504859652473872,0.074155493335976277
50-50-50,0.0-0.0,0.001,5,0.64088888888888884,0.019409103686118308,0.62266666666666648,0.050261538199922039,0.47806078726282902,0.062203940509882004
50-50-50,0.0-0.0,0.001,10,0.64417910447761195,0.012147456686194479,0.61142857142857143,0.05917804336345138,0.43476511779394589,0.07920337280588377
50-50-50,0.001-0.0,0.01,10,0.61358208955223892,0.031204026106677402,0.60857142857142854,0.068868404532536842,0.40702616141625469,0.097904968480584359
50-50-50,0.001-0.0,0.001,5,0.62888888888888883,0.012662117441683928,0.6186666666666667,0.045489925624618635,0.42163803554260254,0.054297729859309279
50-50-50,0.001-0.0,0.001,10,0.62358208955223893,0.014544391301587863,0.62428571428571433,0.053088297645891562,0.42346863976758647,0.062343045687079497
50-50-50,0.0-0.001,0.001,5,0.64548148148148132,0.0065604710594028195,0.624,0.054258639865002199,0.45116579939376111,0.068454490301998724
50-50-50,0.0-0.001,0.001,10,0.64597014925373142,0.011382493113395604,0.61571428571428566,0.05586061370290616,0.42427551622888104,0.075407998015795535
100-100-100,0.0-0.0,0.001,5,0.65599999999999992,0.0059922217529353068,0.63733333333333331,0.040792156108742317,0.47861726511485242,0.056500354670501088
100-100-100,0.0-0.0,0.001,10,0.65671641791044766,0.0087029132758885096,0.62714285714285722,0.051289494488617839,0.44809820278357859,0.067956231270968323
100-100-100,0.001-0.0,0.01,5,0.58029629629629631,0.022232590173968038,0.58933333333333326,0.05491002741859731,0.41162791255928,0.074191955289717226
100-100-100,0.001-0.0,0.01,10,0.60119402985074633,0.030926871398040397,0.5914285714285713,0.056856424977521143,0.40844375538778965,0.079008814301013711
100-100-100,0.001-0.0,0.001,5,0.60725925925925917,0.013307794471285855,0.60400000000000009,0.051311683746383611,0.4119903865274358,0.057836415064846651
100-100-100,0.001-0.0,0.001,10,0.62029850746268678,0.010214888735682786,0.60857142857142876,0.047034507523298082,0.40250659787006632,0.045084042100620732
100-100-100,0.0-0.001,0.001,5,0.65762962962962956,0.0065067233351104236,0.63733333333333331,0.043328204824725131,0.47069624739527649,0.051733810079797264
100-100-100,0.0-0.001,0.001,10,0.65462686567164186,0.010430689677406627,0.63428571428571434,0.05756983337031394,0.44830017951028023,0.070908485841385802
